index,Country,Subject,Gender,Year,Value
443,LVA,MATH,BOY,2018,500.0
444,LVA,MATH,GIRL,2015,483.0
445,LVA,MATH,GIRL,2018,493.0
446,AUS,MATH,BOY & GIRL,2003,524.0
447,AUS,MATH,BOY & GIRL,2006,520.0
448,AUS,MATH,BOY & GIRL,2009,514.0
449,AUS,MATH,BOY & GIRL,2012,504.0
450,AUS,MATH,BOY & GIRL,2015,494.0
451,AUS,MATH,BOY & GIRL,2018,491.0
452,AUT,MATH,BOY & GIRL,2003,506.0
453,AUT,MATH,BOY & GIRL,2006,505.0
454,AUT,MATH,BOY & GIRL,2012,506.0
455,AUT,MATH,BOY & GIRL,2015,497.0
456,AUT,MATH,BOY & GIRL,2018,499.0
457,BEL,MATH,BOY & GIRL,2003,529.0
458,BEL,MATH,BOY & GIRL,2006,520.0
459,BEL,MATH,BOY & GIRL,2009,515.0
460,BEL,MATH,BOY & GIRL,2012,515.0
461,BEL,MATH,BOY & GIRL,2015,507.0
462,BEL,MATH,BOY & GIRL,2018,508.0
463,CAN,MATH,BOY & GIRL,2003,532.0
464,CAN,MATH,BOY & GIRL,2006,527.0
465,CAN,MATH,BOY & GIRL,2009,527.0
466,CAN,MATH,BOY & GIRL,2012,518.0
467,CAN,MATH,BOY & GIRL,2015,516.0
468,CAN,MATH,BOY & GIRL,2018,512.0
469,CZE,MATH,BOY & GIRL,2003,516.0
470,CZE,MATH,BOY & GIRL,2006,510.0
471,CZE,MATH,BOY & GIRL,2009,493.0
472,CZE,MATH,BOY & GIRL,2012,499.0
473,CZE,MATH,BOY & GIRL,2015,492.0
474,CZE,MATH,BOY & GIRL,2018,499.0
475,DNK,MATH,BOY & GIRL,2003,514.0
476,DNK,MATH,BOY & GIRL,2006,513.0
477,DNK,MATH,BOY & GIRL,2009,503.0
478,DNK,MATH,BOY & GIRL,2012,500.0
479,DNK,MATH,BOY & GIRL,2015,511.0
480,DNK,MATH,BOY & GIRL,2018,509.0
481,FIN,MATH,BOY & GIRL,2003,544.0
482,FIN,MATH,BOY & GIRL,2006,548.0
483,FIN,MATH,BOY & GIRL,2009,541.0
484,FIN,MATH,BOY & GIRL,2012,519.0
485,FIN,MATH,BOY & GIRL,2015,511.0
486,FIN,MATH,BOY & GIRL,2018,507.0
487,FRA,MATH,BOY & GIRL,2003,511.0
488,FRA,MATH,BOY & GIRL,2006,496.0
489,FRA,MATH,BOY & GIRL,2009,497.0
490,FRA,MATH,BOY & GIRL,2012,495.0
491,FRA,MATH,BOY & GIRL,2015,493.0
492,FRA,MATH,BOY & GIRL,2018,495.0
493,DEU,MATH,BOY & GIRL,2003,503.0
494,DEU,MATH,BOY & GIRL,2006,504.0
495,DEU,MATH,BOY & GIRL,2009,513.0
496,DEU,MATH,BOY & GIRL,2012,514.0
497,DEU,MATH,BOY & GIRL,2015,506.0
498,DEU,MATH,BOY & GIRL,2018,500.0
499,GRC,MATH,BOY & GIRL,2003,445.0
500,GRC,MATH,BOY & GIRL,2006,459.0
501,GRC,MATH,BOY & GIRL,2009,466.0
502,GRC,MATH,BOY & GIRL,2012,453.0
503,GRC,MATH,BOY & GIRL,2015,454.0
504,GRC,MATH,BOY & GIRL,2018,451.0
505,HUN,MATH,BOY & GIRL,2003,490.0
506,HUN,MATH,BOY & GIRL,2006,491.0
507,HUN,MATH,BOY & GIRL,2009,490.0
508,HUN,MATH,BOY & GIRL,2012,477.0
509,HUN,MATH,BOY & GIRL,2015,477.0
510,HUN,MATH,BOY & GIRL,2018,481.0
511,ISL,MATH,BOY & GIRL,2003,515.0
512,ISL,MATH,BOY & GIRL,2006,506.0
513,ISL,MATH,BOY & GIRL,2009,507.0
514,ISL,MATH,BOY & GIRL,2012,493.0
515,ISL,MATH,BOY & GIRL,2015,488.0
516,ISL,MATH,BOY & GIRL,2018,495.0
517,IRL,MATH,BOY & GIRL,2003,503.0
518,IRL,MATH,BOY & GIRL,2006,501.0
519,IRL,MATH,BOY & GIRL,2009,487.0
520,IRL,MATH,BOY & GIRL,2012,501.0
521,IRL,MATH,BOY & GIRL,2015,504.0
522,IRL,MATH,BOY & GIRL,2018,500.0
523,ITA,MATH,BOY & GIRL,2003,466.0
524,ITA,MATH,BOY & GIRL,2006,462.0
525,ITA,MATH,BOY & GIRL,2009,483.0
526,ITA,MATH,BOY & GIRL,2012,485.0
527,ITA,MATH,BOY & GIRL,2015,490.0
528,ITA,MATH,BOY & GIRL,2018,487.0
529,JPN,MATH,BOY & GIRL,2003,534.0
530,JPN,MATH,BOY & GIRL,2006,523.0
531,JPN,MATH,BOY & GIRL,2009,529.0
532,JPN,MATH,BOY & GIRL,2012,536.0
533,JPN,MATH,BOY & GIRL,2015,532.0
534,JPN,MATH,BOY & GIRL,2018,527.0
535,KOR,MATH,BOY & GIRL,2003,542.0
536,KOR,MATH,BOY & GIRL,2006,547.0
537,KOR,MATH,BOY & GIRL,2009,546.0
538,KOR,MATH,BOY & GIRL,2012,554.0
539,KOR,MATH,BOY & GIRL,2015,524.0
540,KOR,MATH,BOY & GIRL,2018,526.0
541,LUX,MATH,BOY & GIRL,2003,493.0
542,LUX,MATH,BOY & GIRL,2006,490.0
543,LUX,MATH,BOY & GIRL,2009,489.0
544,LUX,MATH,BOY & GIRL,2012,490.0
545,LUX,MATH,BOY & GIRL,2015,486.0
546,LUX,MATH,BOY & GIRL,2018,483.0
547,MEX,MATH,BOY & GIRL,2003,385.0
548,MEX,MATH,BOY & GIRL,2006,406.0
549,MEX,MATH,BOY & GIRL,2009,419.0
550,MEX,MATH,BOY & GIRL,2012,413.0
551,MEX,MATH,BOY & GIRL,2015,408.0
552,MEX,MATH,BOY & GIRL,2018,409.0
553,NLD,MATH,BOY & GIRL,2003,538.0
554,NLD,MATH,BOY & GIRL,2006,531.0
555,NLD,MATH,BOY & GIRL,2009,526.0
556,NLD,MATH,BOY & GIRL,2012,523.0
557,NLD,MATH,BOY & GIRL,2015,512.0
558,NLD,MATH,BOY & GIRL,2018,519.0
559,NZL,MATH,BOY & GIRL,2003,523.0
560,NZL,MATH,BOY & GIRL,2006,522.0
561,NZL,MATH,BOY & GIRL,2009,519.0
562,NZL,MATH,BOY & GIRL,2012,500.0
563,NZL,MATH,BOY & GIRL,2015,495.0
564,NZL,MATH,BOY & GIRL,2018,494.0
565,NOR,MATH,BOY & GIRL,2003,495.0
